date,result,gc_result_on_stage,race,distance,pointspcs,pointsuci,stage,rider,team
2008-05-01,52,NA,Gracia - Orlová (2.2),102.6,NA,NA,Stage 1 - Detmarovice › Detmarovice,Lisa Brennauer,Ceratizit-WNT Pro Cycling
2007-09-17,43,NA,Rund um die Nürnberger Altstadt (CDM),116,NA,NA,One day,Lisa Brennauer,Ceratizit-WNT Pro Cycling
2007-08-05,12,NA,Sparkassen Giro (1.1),75.2,3,NA,One day,Lisa Brennauer,Ceratizit-WNT Pro Cycling
2007-06-24,18,NA,National Championships Germany WE - ITT (NC),30,NA,NA,One day,Lisa Brennauer,Ceratizit-WNT Pro Cycling
NA,31,NA,Giro della Toscana Int. Femminile - Memorial Michela Fanini (2.1),NA,NA,NA,Points classification,Lisa Brennauer,Ceratizit-WNT Pro Cycling
NA,60,NA,Giro della Toscana Int. Femminile - Memorial Michela Fanini (2.1),NA,NA,NA,General classification,Lisa Brennauer,Ceratizit-WNT Pro Cycling
2007-09-23,41,NA,Giro della Toscana Int. Femminile - Memorial Michela Fanini (2.1),106.9,NA,NA,Stage 6 - Quarrata › Florence,Lisa Brennauer,Ceratizit-WNT Pro Cycling
2007-09-22,53,66,Giro della Toscana Int. Femminile - Memorial Michela Fanini (2.1),109.2,NA,NA,Stage 5 - Segromigno in Piano › Capannori,Lisa Brennauer,Ceratizit-WNT Pro Cycling
2007-09-21,43,80,Giro della Toscana Int. Femminile - Memorial Michela Fanini (2.1),63.3,NA,NA,Stage 4a - Pontedera › Pontedera,Lisa Brennauer,Ceratizit-WNT Pro Cycling
2007-09-21,20,72,Giro della Toscana Int. Femminile - Memorial Michela Fanini (2.1),51,NA,NA,Stage 4b - Campi Bisenzo › Campi Bisenzo,Lisa Brennauer,Ceratizit-WNT Pro Cycling
2007-09-20,89,93,Giro della Toscana Int. Femminile - Memorial Michela Fanini (2.1),122.1,NA,NA,Stage 3 - Lari › Voltera,Lisa Brennauer,Ceratizit-WNT Pro Cycling
2007-09-19,23,101,Giro della Toscana Int. Femminile - Memorial Michela Fanini (2.1),66.5,NA,NA,Stage 2b - Porcari › Altopascio,Lisa Brennauer,Ceratizit-WNT Pro Cycling
2007-09-19,101,103,Giro della Toscana Int. Femminile - Memorial Michela Fanini (2.1),57.2,NA,NA,Stage 2a - Porcari › Montecarlo,Lisa Brennauer,Ceratizit-WNT Pro Cycling
NA,14,NA,Tour de Pologne Feminin (2.2),NA,NA,NA,General classification,Lisa Brennauer,Ceratizit-WNT Pro Cycling
2007-06-03,37,NA,Tour de Pologne Feminin (2.2),92.5,NA,NA,Stage 4 - Myszkow › Myszkow,Lisa Brennauer,Ceratizit-WNT Pro Cycling
2007-06-02,8,NA,Tour de Pologne Feminin (2.2),121.3,NA,NA,Stage 3 - Grójec › Rawa Mazowiecka,Lisa Brennauer,Ceratizit-WNT Pro Cycling
2007-06-01,8,NA,Tour de Pologne Feminin (2.2),76,NA,NA,Stage 2 - Łódź › Łódź,Lisa Brennauer,Ceratizit-WNT Pro Cycling
2007-05-31,5,NA,Tour de Pologne Feminin (2.2),130,NA,NA,Stage 1 - Wloclawek › Wloclawek,Lisa Brennauer,Ceratizit-WNT Pro Cycling
2006-08-13,39,NA,World Championships WJ - Road Race (WC),68,NA,NA,One day,Lisa Brennauer,Ceratizit-WNT Pro Cycling
2006-07-18,22,NA,Prologue - Greiz  › Schleiz,3.8,NA,NA,One day,Lisa Brennauer,Ceratizit-WNT Pro Cycling
2006-07-20,60,NA,Internationale Thüringen-Rundfahrt (2.1),129,NA,NA,Stage 2 - Schleiz › Gera,Lisa Brennauer,Ceratizit-WNT Pro Cycling
2006-07-19,60,NA,Internationale Thüringen-Rundfahrt (2.1),129,NA,NA,Stage 1 - Zeulenroda  › Zeulenroda,Lisa Brennauer,Ceratizit-WNT Pro Cycling
2006-05-18,999,NA,Tour de l'Aude Cycliste Féminin (2.1),56.5,NA,NA,Stage 7a - Villegly › Villarzel-Cabardès,Lisa Brennauer,Ceratizit-WNT Pro Cycling
2006-05-17,36,55,Tour de l'Aude Cycliste Féminin (2.1),31.5,NA,NA,Stage 6 (ITT) - Arzens › Montreal d'Aude,Lisa Brennauer,Ceratizit-WNT Pro Cycling
2006-05-16,19,60,Tour de l'Aude Cycliste Féminin (2.1),119,NA,NA,Stage 5 - Castelnaudary › Castelnaudary,Lisa Brennauer,Ceratizit-WNT Pro Cycling
2006-05-15,7,68,Tour de l'Aude Cycliste Féminin (2.1),120,NA,NA,Stage 4 - Lezignan-Corbières › Lezignan-Corbières,Lisa Brennauer,Ceratizit-WNT Pro Cycling
2006-05-14,44,77,Tour de l'Aude Cycliste Féminin (2.1),5.5,NA,NA,Stage 3 (ITT) - Port-la-Nouvelle › Port-la-Nouvelle,Lisa Brennauer,Ceratizit-WNT Pro Cycling
2006-05-13,84,74,Tour de l'Aude Cycliste Féminin (2.1),103.5,NA,NA,Stage 2 - Rieux-Minervois › Rieux-Minervois,Lisa Brennauer,Ceratizit-WNT Pro Cycling
2020-08-29,56,NA,La Course by Le Tour de France (1.WWT),96,NA,NA,One day,Chloe Hosking,Rally Cycling Women
2020-02-29,8,NA,Omloop Het Nieuwsblad-vrouwen elite / Circuit Het Nieuwsblad-Femmes Elite (1.1),122.9,8,30,One day,Chloe Hosking,Rally Cycling Women
2020-02-01,6,NA,Cadel Evans Great Ocean Road Race - Elite Women's Race (1.WWT),121.5,20,140,One day,Chloe Hosking,Rally Cycling Women
2020-01-30,5,NA,Race Torquay WE (1.1),106.4,20,50,One day,Chloe Hosking,Rally Cycling Women
2020-01-12,5,NA,National Championships Australia WE - Road Race (NC),104.4,NA,40,One day,Chloe Hosking,Rally Cycling Women
NA,3,NA,Santos Women's Tour Down Under (2.Pro),NA,NA,NA,Points classification,Chloe Hosking,Rally Cycling Women
NA,5,NA,Santos Women's Tour Down Under (2.Pro),NA,70,85,General classification,Chloe Hosking,Rally Cycling Women
2020-01-19,13,NA,Santos Women's Tour Down Under (2.Pro),42.5,NA,NA,Stage 4 - Adelaide › Adelaide,Chloe Hosking,Rally Cycling Women
2020-01-18,5,4,Santos Women's Tour Down Under (2.Pro),109.1,4,10,Stage 3 - Nairne › Stirling,Chloe Hosking,Rally Cycling Women
2020-01-17,19,5,Santos Women's Tour Down Under (2.Pro),114.9,NA,NA,Stage 2 - Murray Bridge › Birdwood,Chloe Hosking,Rally Cycling Women
2020-01-16,1,1,Santos Women's Tour Down Under (2.Pro),116.3,30,25,Stage 1 - Hahndorf › Macclesfield,Chloe Hosking,Rally Cycling Women
2019-10-22,1,NA,Tour of Guangxi Women's WorldTour (1.WWT),145.8,100,200,One day,Chloe Hosking,Rally Cycling Women
2019-10-06,17,NA,Gran Premio Bruno Beghelli  Internazionale Donne Elite (1.1),79.8,NA,3,One day,Chloe Hosking,Rally Cycling Women
2019-09-28,27,NA,World Championships WE - Road Race (WC),149.4,NA,5,One day,Chloe Hosking,Rally Cycling Women
2019-09-06,9,9,Prologue - Campi Bisenzio › Campi Bisenzio,2.2,NA,NA,One day,Chloe Hosking,Rally Cycling Women
2019-08-31,35,NA,GP de Plouay - Lorient Agglomération Trophée WNT (1.WWT),128.6,NA,3,One day,Chloe Hosking,Rally Cycling Women
2019-08-18,4,NA,Postnord UCI WWT Vårgårda WestSweden RR (1.WWT),145.3,30,100,One day,Chloe Hosking,Rally Cycling Women
2019-08-17,999,NA,Postnord UCI WWT Vårgårda WestSweden TTT (1.WWT),35.6,2,6.7,One day,Chloe Hosking,Rally Cycling Women
2019-08-03,999,NA,Prudential RideLondon Classique (1.WWT),68,NA,NA,One day,Chloe Hosking,Rally Cycling Women
2019-07-19,83,NA,La Course by Le Tour de France (1.WWT),121,NA,NA,One day,Chloe Hosking,Rally Cycling Women
2019-04-28,999,NA,Liège-Bastogne-Liège Femmes (1.WWT),138.5,NA,NA,One day,Chloe Hosking,Rally Cycling Women
2019-04-21,999,NA,Amstel Gold Race Ladies Edition (1.WWT),126.8,NA,NA,One day,Chloe Hosking,Rally Cycling Women
2019-04-07,43,NA,Ronde van Vlaanderen - Tour des Flandres WE (1.WWT),159.2,NA,NA,One day,Chloe Hosking,Rally Cycling Women
2019-04-03,101,NA,Dwars door Vlaanderen / A travers la Flandre WE (1.1),106,NA,NA,One day,Chloe Hosking,Rally Cycling Women
2019-03-31,21,NA,Gent-Wevelgem In Flanders Fields WE (1.WWT),136.8,NA,5,One day,Chloe Hosking,Rally Cycling Women
2019-03-28,14,NA,Driedaagse Brugge-De Panne (1.WWT),134.4,4,15,One day,Chloe Hosking,Rally Cycling Women
2019-03-17,15,NA,Women's WorldTour Ronde van Drenthe (1.WWT),165.7,3,10,One day,Chloe Hosking,Rally Cycling Women
2019-03-15,10,NA,Drentse Acht van Westerveld (1.2),145,NA,3,One day,Chloe Hosking,Rally Cycling Women
2019-03-03,24,NA,Spar - Omloop van het Hageland - Tielt-Winge (1.1),132.6,NA,3,One day,Chloe Hosking,Rally Cycling Women
2019-03-02,14,NA,Omloop Het Nieuwsblad-vrouwen elite / Circuit Het Nieuwsblad-Femmes Elite (1.1),122.9,NA,5,One day,Chloe Hosking,Rally Cycling Women
2019-01-26,32,NA,Cadel Evans Great Ocean Road Race (1.1),113.3,NA,NA,One day,Chloe Hosking,Rally Cycling Women
2019-01-06,21,NA,National Championships Australia WE - Road Race (NC),104.4,NA,NA,One day,Chloe Hosking,Rally Cycling Women
NA,4,NA,Giro delle Marche in Rosa (2.2),NA,NA,NA,Mountains classification,Chloe Hosking,Rally Cycling Women
NA,10,NA,Giro delle Marche in Rosa (2.2),NA,NA,3,General classification,Chloe Hosking,Rally Cycling Women
2019-09-21,15,NA,Giro delle Marche in Rosa (2.2),101.8,NA,NA,Stage 3 - Offida › Offida,Chloe Hosking,Rally Cycling Women
2019-09-20,2,6,Giro delle Marche in Rosa (2.2),114,5,5,Stage 2 - Villa Musone › Villa Musone,Chloe Hosking,Rally Cycling Women
2019-09-19,6,6,Giro delle Marche in Rosa (2.2),73.5,NA,NA,Stage 1 - San Severino  › San Severino,Chloe Hosking,Rally Cycling Women
NA,5,NA,WNT Madrid Challenge by la Vuelta (2.WWT),NA,NA,NA,Points classification,Chloe Hosking,Rally Cycling Women
NA,25,NA,WNT Madrid Challenge by la Vuelta (2.WWT),NA,1,5,General classification,Chloe Hosking,Rally Cycling Women
2019-09-15,1,NA,WNT Madrid Challenge by la Vuelta (2.WWT),98.6,30,25,Stage 2 - Madrid › Madrid,Chloe Hosking,Rally Cycling Women
2019-09-14,45,45,WNT Madrid Challenge by la Vuelta (2.WWT),9.3,NA,NA,Stage 1 (ITT) - Boadilla del Monte › Boadilla del Monte,Chloe Hosking,Rally Cycling Women
NA,9,NA,Premondiale Giro Toscana Int. Femminile - Memorial Michela Fanini (2.2),NA,NA,NA,Mountains classification,Chloe Hosking,Rally Cycling Women
NA,4,NA,Premondiale Giro Toscana Int. Femminile - Memorial Michela Fanini (2.2),NA,NA,NA,Points classification,Chloe Hosking,Rally Cycling Women
NA,10,NA,Premondiale Giro Toscana Int. Femminile - Memorial Michela Fanini (2.2),NA,NA,3,General classification,Chloe Hosking,Rally Cycling Women
2019-09-08,11,NA,Premondiale Giro Toscana Int. Femminile - Memorial Michela Fanini (2.2),111.2,NA,NA,Stage 2 - Capannori › Pescia,Chloe Hosking,Rally Cycling Women
2019-09-07,1,2,Premondiale Giro Toscana Int. Femminile - Memorial Michela Fanini (2.2),137.6,8,8,Stage 1 - Segromigno in Piano › Segromigno in Piano,Chloe Hosking,Rally Cycling Women
NA,13,NA,Ladies Tour of Norway (2.WWT),NA,28,20,General classification,Chloe Hosking,Rally Cycling Women
2019-08-25,4,NA,Ladies Tour of Norway (2.WWT),156.2,7,16,Stage 4 - Svinesund › Halden,Chloe Hosking,Rally Cycling Women
2019-08-24,24,13,Ladies Tour of Norway (2.WWT),125,NA,NA,Stage 3 - Moss › Halden,Chloe Hosking,Rally Cycling Women
2019-08-23,6,3,Ladies Tour of Norway (2.WWT),133.6,3,12,Stage 2 - Mysen › Askim,Chloe Hosking,Rally Cycling Women
2019-08-22,2,2,Ladies Tour of Norway (2.WWT),128,18,20,Stage 1 - Åsgårdstrand › Horten,Chloe Hosking,Rally Cycling Women
NA,15,NA,OVO Energy Women's Tour (2.WWT),NA,NA,NA,Points classification,Chloe Hosking,Rally Cycling Women
NA,61,NA,OVO Energy Women's Tour (2.WWT),NA,NA,NA,General classification,Chloe Hosking,Rally Cycling Women
2019-06-15,67,NA,OVO Energy Women's Tour (2.WWT),125.9,NA,NA,Stage 6 - Carmarthen › Pembrey Country Park,Chloe Hosking,Rally Cycling Women
2019-06-14,52,59,OVO Energy Women's Tour (2.WWT),140,NA,NA,Stage 5 - Llandrindod Wells › Builth Wells,Chloe Hosking,Rally Cycling Women
2019-06-13,58,56,OVO Energy Women's Tour (2.WWT),158.9,NA,NA,Stage 4 - Warwick › Burton Dassett,Chloe Hosking,Rally Cycling Women
2019-06-12,11,45,OVO Energy Women's Tour (2.WWT),145.1,NA,NA,Stage 3 - Henley-on-Thames › Blenheim Palace,Chloe Hosking,Rally Cycling Women
2019-06-11,79,72,OVO Energy Women's Tour (2.WWT),62.5,NA,NA,Stage 2 - Cyclopark Gravesend › Cyclopark Gravesend,Chloe Hosking,Rally Cycling Women
2019-06-10,6,8,OVO Energy Women's Tour (2.WWT),157.6,3,12,Stage 1 - Beccles › Stowmarket,Chloe Hosking,Rally Cycling Women
2019-05-04,999,NA,ASDA Tour de Yorkshire Women's Race (2.1),132,NA,NA,Stage 2 - Bridlington › Scarborough,Chloe Hosking,Rally Cycling Women
2019-05-03,15,19,ASDA Tour de Yorkshire Women's Race (2.1),132,NA,NA,Stage 1 - Barnsley › Bedale,Chloe Hosking,Rally Cycling Women
NA,1,NA,Womens Herald Sun Tour (2.2),NA,NA,NA,Points classification,Chloe Hosking,Rally Cycling Women
NA,12,NA,Womens Herald Sun Tour (2.2),NA,NA,NA,General classification,Chloe Hosking,Rally Cycling Women
2019-01-31,12,NA,Womens Herald Sun Tour (2.2),91.5,NA,NA,Stage 2 - Churchill › Churchill,Chloe Hosking,Rally Cycling Women
2019-01-30,1,1,Womens Herald Sun Tour (2.2),97.9,8,8,Stage 1 - Philip Island › Philip Island,Chloe Hosking,Rally Cycling Women
NA,2,NA,Santos Women's Tour Down Under (2.1),NA,NA,NA,Points classification,Chloe Hosking,Rally Cycling Women
NA,64,NA,Santos Women's Tour Down Under (2.1),NA,NA,NA,General classification,Chloe Hosking,Rally Cycling Women
2019-01-13,1,NA,Santos Women's Tour Down Under (2.1),42.5,16,16,Stage 4 - Adelaide › Adelaide,Chloe Hosking,Rally Cycling Women
2019-01-12,60,65,Santos Women's Tour Down Under (2.1),104.5,NA,NA,Stage 3 - Nairne › Stirling,Chloe Hosking,Rally Cycling Women
2019-01-11,71,69,Santos Women's Tour Down Under (2.1),116.7,NA,NA,Stage 2 - Nuriootpa › Angaston,Chloe Hosking,Rally Cycling Women
2019-01-10,10,3,Santos Women's Tour Down Under (2.1),112.9,NA,NA,Stage 1 - Hahndorf › Birdwood,Chloe Hosking,Rally Cycling Women
2018-09-23,10,NA,World Championships WE - TTT (WC),54.1,2,NA,One day,Chloe Hosking,Rally Cycling Women
2018-08-28,56,56,Prologue - Arnhem › Arnhem,3.3,NA,NA,One day,Chloe Hosking,Rally Cycling Women
2018-08-25,34,NA,GP de Plouay - Lorient Agglomération (1.WWT),125.5,NA,3,One day,Chloe Hosking,Rally Cycling Women
2018-08-16,999,NA,Ladies Tour of Norway - TTT (1.WWT),24.3,1,NA,One day,Chloe Hosking,Rally Cycling Women
2018-08-13,21,NA,Crescent Vårgårda (1.WWT),141,NA,5,One day,Chloe Hosking,Rally Cycling Women
2018-08-11,13,NA,Crescent Vårgårda TTT (1.WWT),42.5,1,3.3,One day,Chloe Hosking,Rally Cycling Women
2018-07-28,4,NA,Prudential RideLondon Classique (1.WWT),64.8,30,100,One day,Chloe Hosking,Rally Cycling Women
2018-04-14,1,NA,Commonwealth Games WE - Road Race (JR),113.2,NA,NA,One day,Chloe Hosking,Rally Cycling Women
2018-04-01,999,NA,Ronde van Vlaanderen / Tour des Flandres WE (1.WWT),153.3,NA,NA,One day,Chloe Hosking,Rally Cycling Women
2018-03-28,11,NA,Dwars door Vlaanderen / A travers la Flandre WE (1.1),118,5,15,One day,Chloe Hosking,Rally Cycling Women
2018-03-25,25,NA,Gent-Wevelgem In Flanders Fields WE (1.WWT),142.6,NA,5,One day,Chloe Hosking,Rally Cycling Women
2018-03-22,2,NA,Driedaagse Brugge - De Panne (1.WWT),151.7,70,150,One day,Chloe Hosking,Rally Cycling Women
2018-03-18,53,NA,Trofeo Alfredo Binda - Comune di Cittiglio (1.WWT),131.3,NA,NA,One day,Chloe Hosking,Rally Cycling Women
2018-03-11,3,NA,Women's WorldTour Ronde van Drenthe (1.WWT),157.2,40,125,One day,Chloe Hosking,Rally Cycling Women
2018-03-09,3,NA,Drentse Acht van Westerveld (1.2),143.4,16,16,One day,Chloe Hosking,Rally Cycling Women
2018-02-25,2,NA,Spar - Omloop van het Hageland - Tielt-Winge (1.1),131,56,85,One day,Chloe Hosking,Rally Cycling Women
2018-02-24,4,NA,Omloop Het Nieuwsblad WE (1.1),122.1,24,60,One day,Chloe Hosking,Rally Cycling Women
2018-01-27,1,NA,Cadel Evans Great Ocean Road Race (1.1),113.3,80,125,One day,Chloe Hosking,Rally Cycling Women
2018-01-07,13,NA,National Championships Australia WE - Road Race (NC),104.4,NA,NA,One day,Chloe Hosking,Rally Cycling Women
NA,35,NA,Madrid Challenge by la Vuelta (2.WWT),NA,NA,3,General classification,Chloe Hosking,Rally Cycling Women
2018-09-16,27,NA,Madrid Challenge by la Vuelta (2.WWT),100.3,NA,NA,Stage 2 - Madrid › Madrid,Chloe Hosking,Rally Cycling Women
2018-09-15,9,42,Madrid Challenge by la Vuelta (2.WWT),12.6,2,1,Stage 1 (TTT) - Boadilla del Monte › Boadilla del Monte,Chloe Hosking,Rally Cycling Women
NA,43,NA,Boels Ladies Tour (2.WWT),NA,NA,NA,General classification,Chloe Hosking,Rally Cycling Women
2018-09-02,63,NA,Boels Ladies Tour (2.WWT),18.6,NA,NA,Stage 6 (ITT) - Roosendaal  › Roosendaal,Chloe Hosking,Rally Cycling Women
2018-09-01,22,44,Boels Ladies Tour (2.WWT),158.4,NA,NA,Stage 5 - Sittard › Sittard,Chloe Hosking,Rally Cycling Women
2018-08-31,31,55,Boels Ladies Tour (2.WWT),124.3,NA,NA,Stage 4 - Stramproy › Weert,Chloe Hosking,Rally Cycling Women
2018-08-30,82,60,Boels Ladies Tour (2.WWT),129,NA,NA,Stage 3 - Gennep › Gennep,Chloe Hosking,Rally Cycling Women
2018-08-29,63,61,Boels Ladies Tour (2.WWT),132.2,NA,NA,Stage 2 - Nijmegen › Nijmegen,Chloe Hosking,Rally Cycling Women
NA,5,NA,Ladies Tour of Norway (2.WWT),NA,NA,NA,Points classification,Chloe Hosking,Rally Cycling Women
NA,20,NA,Ladies Tour of Norway (2.WWT),NA,8,5,General classification,Chloe Hosking,Rally Cycling Women
2018-08-19,4,NA,Ladies Tour of Norway (2.WWT),154,7,16,Stage 3 - Svinesund › Halden,Chloe Hosking,Rally Cycling Women
2018-08-18,36,25,Ladies Tour of Norway (2.WWT),127.7,NA,NA,Stage 2 - Fredrikstad › Sarpsborg,Chloe Hosking,Rally Cycling Women
2018-08-17,5,6,Ladies Tour of Norway (2.WWT),127.7,4,14,Stage 1 - Rakkestad › Mysen,Chloe Hosking,Rally Cycling Women
NA,110,NA,Giro d'Italia Internazionale Femminile (2.WWT),NA,NA,NA,General classification,Chloe Hosking,Rally Cycling Women
2018-07-15,88,NA,Giro d'Italia Internazionale Femminile (2.WWT),120.3,NA,NA,Stage 10 - Cividale del Friuli › Cividale del Friuli,Chloe Hosking,Rally Cycling Women
2018-07-14,127,116,Giro d'Italia Internazionale Femminile (2.WWT),104.7,NA,NA,Stage 9 - Tricesimo › Monte Zoncolan,Chloe Hosking,Rally Cycling Women
2018-07-13,44,111,Giro d'Italia Internazionale Femminile (2.WWT),121.6,NA,NA,Stage 8 - San Giorgio di Perlena (Fara Vicentino)  › Breganze,Chloe Hosking,Rally Cycling Women
2018-07-12,136,120,Giro d'Italia Internazionale Femminile (2.WWT),15,NA,NA,Stage 7 (ITT) - Lanzada › Diga di Campo Moro,Chloe Hosking,Rally Cycling Women
2018-07-11,130,115,Giro d'Italia Internazionale Femminile (2.WWT),114.1,NA,NA,Stage 6 - Sovico › Gerola Alta,Chloe Hosking,Rally Cycling Women
2018-07-10,112,103,Giro d'Italia Internazionale Femminile (2.WWT),117.7,NA,NA,Stage 5 - Omegna › Omegna,Chloe Hosking,Rally Cycling Women
2018-07-09,128,98,Giro d'Italia Internazionale Femminile (2.WWT),109,NA,NA,Stage 4 - Piacenza › Piacenza,Chloe Hosking,Rally Cycling Women
2018-07-08,156,99,Giro d'Italia Internazionale Femminile (2.WWT),132,NA,NA,Stage 3 - Corbetta › Corbetta,Chloe Hosking,Rally Cycling Women
2018-07-07,16,58,Giro d'Italia Internazionale Femminile (2.WWT),120.4,NA,NA,Stage 2 - Ovada › Ovada,Chloe Hosking,Rally Cycling Women
2018-07-06,13,68,Giro d'Italia Internazionale Femminile (2.WWT),15.5,1,NA,Stage 1 (TTT) - Verbania › Verbania,Chloe Hosking,Rally Cycling Women
NA,13,NA,OVO Energy Women's Tour (2.WWT),NA,NA,NA,Points classification,Chloe Hosking,Rally Cycling Women
NA,58,NA,OVO Energy Women's Tour (2.WWT),NA,NA,NA,General classification,Chloe Hosking,Rally Cycling Women
2018-06-17,70,NA,OVO Energy Women's Tour (2.WWT),122,NA,NA,Stage 5 - Dolgellau › Colwyn Bay,Chloe Hosking,Rally Cycling Women
2018-06-16,4,43,OVO Energy Women's Tour (2.WWT),130,7,16,Stage 4 - Wychavon District › Worcester,Chloe Hosking,Rally Cycling Women
2018-06-15,27,45,OVO Energy Women's Tour (2.WWT),151,NA,NA,Stage 3 - Atherstone › Royal Leamington Spa,Chloe Hosking,Rally Cycling Women
2018-06-14,63,53,OVO Energy Women's Tour (2.WWT),145,NA,NA,Stage 2 - Rushden › Daventry,Chloe Hosking,Rally Cycling Women
2018-06-13,23,6,OVO Energy Women's Tour (2.WWT),130,NA,NA,Stage 1 - Framlingham › Southwold,Chloe Hosking,Rally Cycling Women
NA,6,NA,Tour of Chongming Island UCI Women's WorldTour (2.WWT),NA,NA,NA,Points classification,Chloe Hosking,Rally Cycling Women
NA,9,NA,Tour of Chongming Island UCI Women's WorldTour (2.WWT),NA,45,40,General classification,Chloe Hosking,Rally Cycling Women
2018-04-28,6,NA,Tour of Chongming Island UCI Women's WorldTour (2.WWT),126.5,3,12,Stage 3 - Chongming Xincheng Park › Chongming Xincheng Park,Chloe Hosking,Rally Cycling Women
2018-04-27,9,12,Tour of Chongming Island UCI Women's WorldTour (2.WWT),121.3,NA,6,Stage 2 - Chongming Fenghuang Park › Chongming Xincheng Park,Chloe Hosking,Rally Cycling Women
2018-04-26,61,8,Tour of Chongming Island UCI Women's WorldTour (2.WWT),111.5,NA,NA,Stage 1 - Chongming Xincheng Park › Chongming Xincheng Park,Chloe Hosking,Rally Cycling Women
NA,1,NA,Womens Herald Sun Tour (2.2),NA,NA,NA,Points classification,Chloe Hosking,Rally Cycling Women
NA,3,NA,Womens Herald Sun Tour (2.2),NA,16,16,General classification,Chloe Hosking,Rally Cycling Women
2018-01-31,15,NA,Womens Herald Sun Tour (2.2),1.6,NA,NA,Stage 2 (ITT) - Melbourne › Melbourne,Chloe Hosking,Rally Cycling Women
2018-01-30,3,3,Womens Herald Sun Tour (2.2),123.5,2,3,Stage 1 - Healesville › Healesville,Chloe Hosking,Rally Cycling Women
NA,3,NA,Santos Women's Tour (2.1),NA,NA,NA,Points classification,Chloe Hosking,Rally Cycling Women
NA,14,NA,Santos Women's Tour (2.1),NA,NA,5,General classification,Chloe Hosking,Rally Cycling Women
2018-01-14,1,NA,Santos Women's Tour (2.1),46,16,16,Stage 4 - Wakefield Road › Wakefield Road,Chloe Hosking,Rally Cycling Women
2018-01-13,9,17,Santos Women's Tour (2.1),122.4,NA,NA,Stage 3 - The Bend Motorsport Park › Hahndorf,Chloe Hosking,Rally Cycling Women
2018-01-12,29,26,Santos Women's Tour (2.1),102,NA,NA,Stage 2 - Lyndoch › Mengler's Hill,Chloe Hosking,Rally Cycling Women
2018-01-11,6,4,Santos Women's Tour (2.1),115.7,2,4,Stage 1 - Gumeracha › Gumeracha,Chloe Hosking,Rally Cycling Women
2017-10-01,998,NA,Gran Premio Beghelli Internazionale Donne Elite (1.1),79.8,NA,NA,One day,Chloe Hosking,Rally Cycling Women
2017-09-30,999,NA,Giro dell'Emilia Internazionale Donne Elite (1.1),98.8,NA,NA,One day,Chloe Hosking,Rally Cycling Women
2017-09-23,59,NA,World Championships WE - Road Race (WC),152.8,NA,NA,One day,Chloe Hosking,Rally Cycling Women
2017-09-10,7,NA,Madrid Challenge by la Vuelta (1.WWT),87,15,40,One day,Chloe Hosking,Rally Cycling Women
2017-08-29,39,39,Prologue - Wageningen › Wageningen,4.3,NA,NA,One day,Chloe Hosking,Rally Cycling Women
2017-08-26,25,NA,GP de Plouay - Lorient Agglomeration (1.WWT),121.5,NA,NA,One day,Chloe Hosking,Rally Cycling Women
2017-08-17,41,41,Prologue - Halden › Halden,3.4,NA,NA,One day,Chloe Hosking,Rally Cycling Women
2017-08-13,6,NA,Crescent Vårgårda (1.WWT),152,20,50,One day,Chloe Hosking,Rally Cycling Women
2017-08-11,14,NA,Crescent Vårgårda TTT (1.WWT),43,1,7,One day,Chloe Hosking,Rally Cycling Women
2017-07-29,11,NA,Prudential RideLondon Classique (1.WWT),66,7,20,One day,Chloe Hosking,Rally Cycling Women
2017-04-03,2,NA,Grand Prix de Dottignies (1.2),115.2,30,30,One day,Chloe Hosking,Rally Cycling Women
2017-04-02,71,NA,Ronde van Vlaanderen / Tour des Flandres WE (1.WWT),153.3,NA,NA,One day,Chloe Hosking,Rally Cycling Women
2017-03-26,88,NA,Gent-Wevelgem In Flanders Fields WE (1.WWT),146,NA,NA,One day,Chloe Hosking,Rally Cycling Women
2017-03-22,41,NA,Dwars Door Vlaanderen / A travers la Flandre WE (1.1),114.4,NA,NA,One day,Chloe Hosking,Rally Cycling Women
2017-03-12,1,NA,Drentse Acht van Westerveld (1.2),143.1,40,40,One day,Chloe Hosking,Rally Cycling Women
2017-03-11,10,NA,Women's WorldTour Ronde van Drenthe (1.WWT),152.2,8,25,One day,Chloe Hosking,Rally Cycling Women
2017-03-04,65,NA,Strade Bianche WE (1.WWT),127,NA,NA,One day,Chloe Hosking,Rally Cycling Women
2017-03-01,13,NA,Le Samyn des Dames (1.2),100.5,NA,NA,One day,Chloe Hosking,Rally Cycling Women
2017-02-26,2,NA,Spar - Omloop van het Hageland - Tielt-Winge (1.1),126.6,56,60,One day,Chloe Hosking,Rally Cycling Women
2017-02-25,25,NA,Omloop Het Nieuwsblad WE (1.1),122,NA,NA,One day,Chloe Hosking,Rally Cycling Women
2017-01-28,8,NA,Cadel Evans Great Ocean Road Race (1.2),113,3,3,One day,Chloe Hosking,Rally Cycling Women
2017-01-08,12,NA,National Championships Australia WE - Road Race (NC),102,NA,NA,One day,Chloe Hosking,Rally Cycling Women
NA,44,NA,Boels Rental Ladies Tour (2.WWT),NA,NA,NA,General classification,Chloe Hosking,Rally Cycling Women
2017-09-03,61,NA,Boels Rental Ladies Tour (2.WWT),157.1,NA,NA,Stage 6 - Sittard › Sittard,Chloe Hosking,Rally Cycling Women
